id,cntntsNo,cntntsSj,rtnFileUrl,rtnThumbFileUrl,growthAra,growthHg,grwhTp,minTp,maxTp,grwtve,hd,minHd,maxHd,ignSeasonCode,ignSeason,lighttdemanddo,minLt,maxLt,managedemanddo,minPstPlc,maxPstPlc,toxcty,watercycleSprng,watercycleSummer,watercycleAutumn,watercycleWinter,minWinterTp,maxWinterTp,winterLwetTp
0,12938,가울테리아,https://nongsaro.go.kr/cms_contents/301/12938_MF_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/12938_MF_ATTACH_01_TMB.jpg,25,15,16~20℃,16,20,0,40 ~ 70%,40,70,0100,여름,800~10000 Lux,800,10000,1,0,300,0,3,3,3,4,,0,0℃ 이하
1,12954,개운죽,https://nongsaro.go.kr/cms_contents/301/12954_MF_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/12954_MF_ATTACH_01_TMB.jpg,30,90,16~20℃,16,20,1,40 ~ 70%,40,70,0000,,300~1500 Lux,300,1500,1,0,500,1,2,2,2,3,13,,13℃ 이상
2,12955,골드크레스트 윌마,https://nongsaro.go.kr/cms_contents/301/12955_MF_ATTACH_04.jpg,https://nongsaro.go.kr/cms_contents/301/12955_MF_ATTACH_04_TMB.jpg,50,100,16~20℃,16,20,1,40 ~ 70%,40,70,0000,,1500~10000 Lux,1500,10000,2,0,300,0,3,3,3,4,10,10,10℃
3,12957,공작야자,https://nongsaro.go.kr/cms_contents/301/12957_MF_REPR_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/12957_MF_REPR_ATTACH_01_TMB.jpg,100,300,21~25℃,21,25,1,70% 이상,70,,0100,여름,800~10000 Lux,800,10000,3,0,300,0,3,3,3,3,13,,13℃ 이상
4,12962,관엽베고니아,https://nongsaro.go.kr/cms_contents/301/12962_MF_REPR_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/12962_MF_REPR_ATTACH_01_TMB.jpg,30,30,16~20℃,16,20,1,40 ~ 70%,40,70,1000,봄,800~10000 Lux,800,10000,2,0,300,0,3,3,3,3,13,,13℃ 이상
5,12963,관음죽,https://nongsaro.go.kr/cms_contents/301/12963_MF_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/12963_MF_ATTACH_01_TMB.jpg,70,200,16~20℃,16,20,0,40 ~ 70%,40,70,0000,,300~1500 Lux,300,1500,2,0,,4,3,3,3,4,5,5,5℃
6,12966,구문초,https://nongsaro.go.kr/cms_contents/301/12966_MF_REPR_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/12966_MF_REPR_ATTACH_01_TMB.jpg,50,50,16~20℃,16,20,1,40 ~ 70%,40,70,1100,"봄, 여름",800~10000 Lux,800,10000,3,0,300,0,3,3,3,4,10,10,10℃
7,12972,구즈마니아,https://nongsaro.go.kr/cms_contents/301/12972_MF_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/12972_MF_ATTACH_01_TMB.jpg,30,30,21~25℃,21,25,0,40 ~ 70%,40,70,1100,"봄, 여름",800~10000 Lux,800,10000,3,0,300,0,3,3,3,3,13,,13℃ 이상
8,12974,군자란,https://nongsaro.go.kr/cms_contents/301/12974_MF_REPR_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/12974_MF_REPR_ATTACH_01_TMB.jpg,30,50,16~20℃,16,20,0,40 ~ 70%,40,70,1100,"봄, 여름",800~10000 Lux,800,10000,2,0,300,2,3,3,3,4,10,10,10℃
9,12988,글레코마,https://nongsaro.go.kr/cms_contents/301/12988_MF_REPR_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/12988_MF_REPR_ATTACH_01_TMB.jpg,50,10,16~20℃,16,20,1,40 ~ 70%,40,70,1100,"봄, 여름",800~10000 Lux,800,10000,1,0,300,0,3,3,3,4,5,5,5℃
10,12990,금목서,https://nongsaro.go.kr/cms_contents/301/12990_MF_ATTACH_04.jpg,https://nongsaro.go.kr/cms_contents/301/12990_MF_ATTACH_04_TMB.jpg,50,100,16~20℃,16,20,1,40 ~ 70%,40,70,0010,가을,800~10000 Lux,800,10000,1,0,300,0,3,3,3,3,,0,0℃ 이하
11,12994,금사철나무,https://nongsaro.go.kr/cms_contents/301/12994_MF_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/12994_MF_ATTACH_01_TMB.jpg,70,100,16~20℃,16,20,1,40 ~ 70%,40,70,0000,,800~10000 Lux,800,10000,2,0,500,0,3,3,3,4,,0,0℃ 이하
12,12998,금식나무,https://nongsaro.go.kr/cms_contents/301/12998_MF_ATTACH_01.gif,https://nongsaro.go.kr/cms_contents/301/12998_MF_ATTACH_01_TMB.gif,70,100,16~20℃,16,20,0,40 ~ 70%,40,70,1000,봄,800~10000 Lux,800,10000,1,0,300,0,3,3,3,4,,0,0℃ 이하
13,13186,금전수,https://nongsaro.go.kr/cms_contents/301/13186_MF_ATTACH_04.jpg,https://nongsaro.go.kr/cms_contents/301/13186_MF_ATTACH_04_TMB.jpg,30,60,16~20℃,16,20,0,40 ~ 70%,40,70,0000,,800~10000 Lux,800,10000,1,0,500,2,3,3,3,4,13,,13℃ 이상
14,13196,금천죽,https://nongsaro.go.kr/cms_contents/301/13196_MF_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/13196_MF_ATTACH_01_TMB.jpg,30,100,16~20℃,16,20,0,40 ~ 70%,40,70,0000,,300~1500 Lux,300,1500,1,0,300,1,3,3,3,4,13,,13℃ 이상
15,13199,기누라,https://nongsaro.go.kr/cms_contents/301/13199_MF_REPR_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/13199_MF_REPR_ATTACH_01_TMB.jpg,30,30,16~20℃,16,20,1,40 ~ 70%,40,70,1110,,800~10000 Lux,800,10000,3,0,300,0,3,3,3,4,13,,13℃ 이상
16,13201,꽃베고니아,https://nongsaro.go.kr/cms_contents/301/13201_MF_REPR_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/13201_MF_REPR_ATTACH_01_TMB.jpg,30,30,21~25℃,21,25,2,70% 이상,70,,1100,"봄, 여름, 가을",1500~10000 Lux,1500,10000,2,0,300,0,2,2,3,4,13,,13℃ 이상
17,13202,나도풍란,https://nongsaro.go.kr/cms_contents/301/13202_MF_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/13202_MF_ATTACH_01_TMB.jpg,20,10,21~25℃,21,25,0,70% 이상,70,,1100,"봄, 여름",800~1500 Lux,800,1500,3,50,150,0,4,4,4,4,7,7,7℃
18,13206,남천,https://nongsaro.go.kr/cms_contents/301/13206_MF_ATTACH_02.jpg,https://nongsaro.go.kr/cms_contents/301/13206_MF_ATTACH_02_TMB.jpg,100,150,16~20℃,16,20,1,40 ~ 70%,40,70,1100,"봄, 여름",1500~10000 Lux,1500,10000,1,0,300,1,3,3,3,4,5,5,5℃
